text,label
"Went to see Dr Caldron to rule out RA, the experience was the worst I've encountered in my medical history. I came in with numbness, tingling in my hands with excrutiating pain in shoulders and arms. First they must watch too much medical shows on TV as they use the assistant as your puppeteer, who informs the doctor of your symptoms and then the doctor addresses her not you . He was condescending, unsympathetic to my issues and literally told me its just arthritis.deal with it and sent me home. But not before ordering blood tests that were already completed by my primary and the results given to him prior to my appt. I should followup in a few months, really? NOT, of course the bill arrived.hundreds of dollars not well spent. Just a factory dwelling on the elderly on medicare.",1
"My 4 year old attended the week long All Sport Camp. On Friday they take the kids to the park across the street and they left him there. THEY LEFT A 4 YEAR OLD KID, IN THE PARK, BY HIMSELF! Fortunately for us, a park employee found him and called the City Marshall's and he was returned safely. I supspected Meir sp? was lying to us about the whole incident, I am sure he was trying to cover his own ass. My suspicions were confirmed when I got a copy of the report from the Marshal's office. The Marshal said he would have pressed charges if he could but could not prove intent. Needless to say, any parent who loves their kid should avoid this place. You literally may not get your kid back if they do to your kid what they did to ours.",1
"We went for their happy hour on a Friday after work, which is only offered in the bar area. The bar area was packed and we grabbed the last 2 seats. Our friend joined us a few minutes later, but he had to stand for about 5 10 minutes until someone left and we cold source a chair. The prices didn't really seem discounted at all, and the service suffered because of obvious understaffing. Food quality was poor. My calamari was bland and overcooked. Bf ordered the prime rib slider, which was shaved prime rib that looked like an Arby's sandwich, but didn't taste as good. My friend got the steak kabob, which was actually pretty good. Atmosphere was busy, but not very lively. My advice, drive down the street to Charleston, and go to Fleming's for happy hour.",1
This is a Terrible ride I have even have. My friend and I we were in a group of 11. And the worker there have set us in a group with other group together. But at the end my friend daughter went in first then the worker stop my friend they say is to the limit already tell him to take the next one my friend daughter is only 5 year old. They fxxking left a 5 year old kid alone with bunch of stranger and won't stop and let the ride still go. This is the most terrible experience I even have. And it hear from other passenger told me there have been a lot of malfunction to the ride. The door close itself without wait for all passenger in etc . Did any one have the information where it can file a compliant to the head Office please advise.,1
"Bad service 3 times gets you yelped. n nStrike 3 Recently we changed our address and they are holding a pile of mail. Since we are out of state now, my tenant goes over there to retrieve the mail they are holding 3 weeks now and they replied ""I'm not going in there now to sort through it, it will be mailed to them next week "" OH I see, it takes a month for you to do it? Should have taken 5 days. n nStrike 2 They changed our mailbox key and gave us the wrong key. Nobody would help us until my husband had to pull the attitude card. Jeesh! n nStrike 1 I received a gift in the mail, box was too big for the mailbox, so they kept it at the post office, no note, no drop off, nuthin'. I had to go track it down, there it was sitting there waiting. for someone. to deliver it. A week they had it.",1
"The size of the servings is almost immoral. There is a 3 charge for sharing, which if you come to think about it, would not make it a bad deal if you both happen to want to partake of the same disgusting sandwich. The quality of the food and its size are in inverse proportion our meat was dry, tasteless, visually revolting, anchored by two slivers of bread to justify calling it a sandwich and not a chunk of dead dry beef. The worst sin was the chicken soup, that traditional icon of soothing relief yellow liquid with a taste of having recently sprinkled or dissolved from an envelop or a cube, sodium being the preponderate flavor. nCan't believe the place is so popular, but in Las Vegas everything is possible, I guess.",1
"We stopped by for a quick dinner hoping to find that this well located fairly new place. It is a sports bar through and through. This is not a place for great or even adequate food. The waitress told us that they made things fresh and that they have a great chef. Our experience was that everything we ate appeared and tasted frozen and fresh heated. nThe firecracker shrimp was tiny little shrimp heavily breaded, frozen and deep fried. There was no taste of shrimp there, only spice batter. The 1 2 rack ribs were small riblets, individually cut, and also apparently prepackaged. The iceberg lettuce wedge had mediocre blue cheese dressing and artificial bacon. nThis place may be a great bar, but it is not a restaurant.",1
"I had a lunch date with a friend and she suggested we eat here. It seemed very busy and I was willing to wait to be sat. However, It took about 5 min for anyone to acknowledge me. Servers made eye contact, yet no one made the initiative to approach me or even say ""we will be right with you "". Oh well, made my way to the bar to get some kind of help. Eventually was sat somewhere in the restaurant. Took another 5 min for a server to come over and greet me. Maybe some FOH issues with management or lack of staffing? Either way, the food was decent and service was mediocre. I wouldn't go back for the fact that the customer service needs improvement. However, I am the type of person to try a place twice in no hurry to make that second visit.",1
"Had a simple salad. Butter lettuce, walnuts literally that's it with salmon. Something like 12 for it and it literally looked and tasted like they just threw the items on the plate. No tossing or arranging or anything. At least the lettuce was washed. The salmon tasted frozen and had huge peppercorns crusted onto the top. I was hungry so I ate it but was not happy at all this was their idea of a 12 salad. My boyfriend had the adriattico boa? I think that's what it was and said the tomato cream tasted like the vodka sauce from Safeway. Cafe Boa used to be good, now not so much. I think it's lost it's luster and they have a lot of nerve charging the prices they do for mediocre food. Probably won't eat there again.",1
"Just left this place with my wife. We went there based on these excellent reviews and we were very dissapointed. In contrast to the overwhelmingly positive reviews, we found it to be very high prices for very mediocre food. n nI had the lamb and my wife had the chicken and shrimp, both were edible but bordered on terrible to just plain bland my wife had to put salt and pepper on the chicken just to give it some incling of recognizable seasoning . n nIve had much better lamb in gyros in our home town of Janesville that run around 5 bucks. so this lamb priced as a 35 dollar plate being far worse was quite a shock. Avoid this place, and instead spend your money on one of the many great restaurants that surround it.",1
"If it wasn't for the customer service is probably give this place just a star. the seating reminded me to oacked sardines. I was disappointed dish after dish, there was nothing to rave about except maybe one of the salads with sashimi? I think it was the poki? I can't really remember the name.of.it. I thought that since people rated this place so highly it must be good, boy was I wrong. Sorry to say even though the customer service was superb, I wouldn't recommend this place because the food was just lacking in quality and freshness. And I know that its hard to expect that from a all.you can eat sushi place, thats hella far from the ocean. but there are joints like oyshi and goyemon that never seem to let me down.",1
"We previously had a wonderful dim sum brunch, but our dinner this evening proved to be disappointing. Service this evening was beyond slow so I called over the manager and explained we had a show to catch and could she call over a waitress. She literally called across the room and a waitress soon appeared. We gave our orders, Singapore noodles and wrinkled green beans, while advising of her of our evening's plans. Our green beans arrived, but some 10 minutes later we were still waiting for the noodles. I again called over the manager who called over the waitress who checked with the chef and said it would be a few more minutes. Both dishes were decent, but it would have been nice to enjoy them together",1
"Me and the hubby went in while Walmart was changing the battery on our car. So not a place we sought out but more out of convenience. n nWe both ordered a hamburger I had a cheeseburger and he ordered a Southwest burger. Mine was ok over cooked, cheap bun but ok. Fries were about average but I liked them. My husband didn't like his Southwest burger at all. Said the flavor of the BBQ was too sweet and he said the patties were pre made pet peeve for both of us but edible. n nWe sat at the bar because there was only one person working the whole restaurant. He shook our hands and asked our names.? I guess they want to be the Cheers of Greenfield and Baseline. n nFine but nothing to drive out of your way for.",1
"So hot in this place I wanted to do an ALS Ice Bucket Challenge. Polite note that says ""the A C is not working "", the note really meant to say ""owner saving costs by turning A C off "". n nWe did not realize that our group showed up without enough time to finish. Upon finishing the 14th hole in a round where we were playing fairly quickly to get out of the heat the Manager stops us and says they're closing and we need to wrap up. Clearly the manager knew we would not be able to finish when she gladly took 40 from us before we started. n nOh, and I love the '19th hole' plinko style contraption they rigged at the end to collect your ball. I'm no engineer, but after looking at it I'd say no one is gonna win the 'prize'. n nFool me once Lunar Golf!",1
"My husband and I went here for dinner and it was a ghost town. We were the only people in the place and I soon found out why. The service was amazingly slow considering we were the only ones there. We ordered our burgers, you can build your own, and waited. They take the blue part of their name a little too seriously which I could handle except for the obnoxious blue tint on the windows.ugh. when our food arrived my order was incorrect, I was stunned by this seeing how they had one order and could not get that right. Whether it was the fault of the server of the kitchen who knows? I did not mention it I did not feel like waiting for it to be fixed. So in short, bad food, bad service, unappealing atmosphere, and to top it all off an expensive price for a tasteless burger.",1
